ID,Labeled Data,Label,Created By,Project Name,Created At,Seconds to Label,External ID,Agreement
cjitz4t8p0p4207215wmy9m23,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cji1s2pde32fd0710rcjl72g4%2F20c06351-1846-47cb-83ac-7718be5f85d3%2FIMG_0258.JPG?alt=media&token=df5fda5d-1bcc-4bc2-a0ad-ef1c13f3833a,"{""hello"":[[{""x"":181,""y"":177},{""x"":181,""y"":78},{""x"":203,""y"":78},{""x"":203,""y"":177}]]}",yueyingteng@gmail.com,resized_hello,1529913730000,8.176,,
cjitzgo4u0rd20721pm5v70o8,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cji1s2pde32fd0710rcjl72g4%2F20c06351-1846-47cb-83ac-7718be5f85d3%2FIMG_0260.JPG?alt=media&token=0c07b008-d66a-4b39-96a5-aa246fa0f046,"{""hello"":[[{""x"":215,""y"":161},{""x"":215,""y"":73},{""x"":243,""y"":73},{""x"":243,""y"":161}]]}",yueyingteng@gmail.com,resized_hello,1529914283000,4.949,,
cjitz50hu0p4y0721qsnj294e,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cji1s2pde32fd0710rcjl72g4%2F20c06351-1846-47cb-83ac-7718be5f85d3%2FIMG_0261.JPG?alt=media&token=f971a886-bbad-4dae-89fe-068c83d51a29,"{""hello"":[[{""x"":194,""y"":171},{""x"":194,""y"":66},{""x"":217,""y"":66},{""x"":217,""y"":171}]]}",yueyingteng@gmail.com,resized_hello,1529913740000,9.442,,
cjitz5am50p6e0721y6j5z3ed,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cji1s2pde32fd0710rcjl72g4%2F20c06351-1846-47cb-83ac-7718be5f85d3%2FIMG_0262.JPG?alt=media&token=8305b8bc-529b-4fe8-abcb-876c6b1796e2,"{""hello"":[[{""x"":209,""y"":123},{""x"":209,""y"":70},{""x"":234,""y"":70},{""x"":234,""y"":123}]]}",yueyingteng@gmail.com,resized_hello,1529913753000,13.105,,
cjitz5mnz0vcd0749lvja4r1h,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cji1s2pde32fd0710rcjl72g4%2F20c06351-1846-47cb-83ac-7718be5f85d3%2FIMG_0264.JPG?alt=media&token=c78be0ea-eaa1-44f9-93fc-1ffb8f2a53e6,"{""hello"":[[{""x"":226,""y"":138},{""x"":197,""y"":139},{""x"":197,""y"":82},{""x"":226,""y"":82}]]}",yueyingteng@gmail.com,resized_hello,1529913768000,15.604,,
cjitz675r0vfq07499y8gi2fn,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cji1s2pde32fd0710rcjl72g4%2F20c06351-1846-47cb-83ac-7718be5f85d3%2FIMG_0265.JPG?alt=media&token=7fc76dfc-39fd-4f1a-895d-58f7551d81e3,"{""hello"":[[{""x"":212,""y"":154},{""x"":212,""y"":96},{""x"":239,""y"":96},{""x"":239,""y"":154}]]}",yueyingteng@gmail.com,resized_hello,1529913795000,26.564,,
cjitz6c920vgs0749vltegc52,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cji1s2pde32fd0710rcjl72g4%2F20c06351-1846-47cb-83ac-7718be5f85d3%2FIMG_0266.JPG?alt=media&token=103579d4-cd19-4753-8942-16c1d1421635,"{""hello"":[[{""x"":206,""y"":159},{""x"":206,""y"":101},{""x"":239,""y"":101},{""x"":239,""y"":159}]]}",yueyingteng@gmail.com,resized_hello,1529913801000,6.658,,
cjitz6g290vhp0749fg23tbc9,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cji1s2pde32fd0710rcjl72g4%2F20c06351-1846-47cb-83ac-7718be5f85d3%2FIMG_0268.JPG?alt=media&token=4a56b61f-71ab-440c-997c-a7e121d2b915,"{""hello"":[[{""x"":236,""y"":156},{""x"":236,""y"":114},{""x"":260,""y"":114},{""x"":260,""y"":156}]]}",yueyingteng@gmail.com,resized_hello,1529913806000,5.198,,
cjitz6k0s0pej07215fpop22w,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cji1s2pde32fd0710rcjl72g4%2F20c06351-1846-47cb-83ac-7718be5f85d3%2FIMG_0269.JPG?alt=media&token=6567c930-71ad-464e-827a-e7f97232074a,"{""hello"":[[{""x"":195,""y"":187},{""x"":195,""y"":107},{""x"":226,""y"":107},{""x"":226,""y"":187}]]}",yueyingteng@gmail.com,resized_hello,1529913812000,4.725,,
cjitz6nsn0vip07490bv03baw,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cji1s2pde32fd0710rcjl72g4%2F20c06351-1846-47cb-83ac-7718be5f85d3%2FIMG_0270.JPG?alt=media&token=f647b19c-6dce-44a4-9af3-7c06f1799ec2,"{""hello"":[[{""x"":183,""y"":172},{""x"":183,""y"":131},{""x"":210,""y"":131},{""x"":210,""y"":172}]]}",yueyingteng@gmail.com,resized_hello,1529913816000,5.141,,
