filename,width,height,class,xmin,ymin,xmax,ymax
IMG_0258.JPG,400,300,hello,181,123,203,222
IMG_0260.JPG,400,300,hello,215,139,243,227
IMG_0261.JPG,400,300,hello,194,129,217,234
IMG_0262.JPG,400,300,hello,209,177,234,230
IMG_0264.JPG,400,300,hello,226,162,197,161
IMG_0265.JPG,400,300,hello,212,146,239,204
IMG_0266.JPG,400,300,hello,206,141,239,199
IMG_0268.JPG,400,300,hello,236,144,260,186
IMG_0269.JPG,400,300,hello,195,113,226,193
IMG_0270.JPG,400,300,hello,183,128,210,169
IMG_0271.JPG,400,300,hello,158,91,184,197
IMG_0272.JPG,400,300,hello,200,129,225,182
IMG_0273.JPG,400,300,hello,188,130,214,187
IMG_0274.JPG,400,300,hello,184,184,207,95
IMG_0275.JPG,400,300,hello,202,123,230,233
IMG_0281.JPG,400,300,hello,227,167,255,229
IMG_0283.JPG,400,300,hello,196,126,226,188
IMG_0284.JPG,400,300,hello,214,155,235,202
IMG_0285.JPG,400,300,hello,219,125,248,231
IMG_0286.JPG,400,300,hello,219,130,244,209
IMG_0287.JPG,400,300,hello,207,138,231,191
IMG_0288.JPG,400,300,hello,182,123,205,221
IMG_0289.JPG,400,300,hello,189,143,216,197
IMG_0297.JPG,400,300,hello,223,135,254,249
IMG_0298.JPG,400,300,hello,224,152,252,205
IMG_0299.JPG,400,300,hello,220,126,248,232
IMG_0300.JPG,400,300,hello,169,110,199,244
IMG_0301.JPG,400,300,hello,194,126,218,227
IMG_0302.JPG,400,300,hello,225,140,250,195
IMG_0303.JPG,400,300,hello,217,125,241,169
IMG_0304.JPG,400,300,hello,233,134,261,207
IMG_0306.JPG,400,300,hello,206,130,236,183
IMG_0318.JPG,400,300,hello,219,134,245,189
IMG_0319.JPG,400,300,hello,257,148,280,198
IMG_0326.JPG,400,300,hello,214,156,242,211
IMG_0328.JPG,400,300,hello,244,160,268,200
IMG_0329.JPG,400,300,hello,245,164,268,200
IMG_0333.JPG,400,300,hello,196,218,224,111
IMG_0335.JPG,400,300,hello,231,171,204,171
IMG_0336.JPG,400,300,hello,218,140,248,258
IMG_0338.JPG,400,300,hello,219,154,246,249
IMG_0340.JPG,400,300,hello,229,179,254,230
IMG_0342.JPG,400,300,hello,220,177,246,231
IMG_0344.JPG,400,300,hello,214,148,188,148
IMG_0346.JPG,400,300,hello,227,187,252,244
IMG_0348.JPG,400,300,hello,224,181,251,236
IMG_0351.JPG,400,300,hello,219,159,244,217
IMG_0352.JPG,400,300,hello,190,140,213,243
IMG_0355.JPG,400,300,hello,217,126,245,201
IMG_0358.JPG,400,300,hello,191,135,219,194
IMG_0360.JPG,400,300,hello,192,151,218,208
IMG_0362.JPG,400,300,hello,192,153,219,206
IMG_0364.JPG,400,300,hello,191,146,220,205
IMG_0365.JPG,400,300,hello,165,112,189,219
IMG_0367.JPG,400,300,hello,195,143,220,198
IMG_0369.JPG,400,300,hello,196,146,222,200
IMG_0371.JPG,400,300,hello,199,128,228,215
IMG_0373.JPG,400,300,hello,204,147,235,201
IMG_0375.JPG,400,300,hello,202,149,229,207
IMG_0376.JPG,400,300,hello,199,149,224,203
IMG_0377.JPG,400,300,hello,163,119,192,228
IMG_0379.JPG,400,300,hello,216,145,191,144
IMG_0380.JPG,400,300,hello,176,110,196,193
IMG_0381.JPG,400,300,hello,184,139,206,183
IMG_0382.JPG,400,300,hello,187,145,207,189
IMG_0388.JPG,400,300,hello,186,149,215,199
IMG_0390.JPG,400,300,hello,192,121,218,225
IMG_0392.JPG,400,300,hello,209,152,184,152
IMG_0403.JPG,400,300,hello,185,131,211,174
IMG_0405.JPG,400,300,hello,142,90,176,239
IMG_0407.JPG,400,300,hello,174,115,205,169
IMG_0408.JPG,400,300,hello,198,149,222,185
IMG_0411.JPG,400,300,hello,209,147,232,195
IMG_0427.JPG,400,300,hello,204,161,231,234
IMG_0428.JPG,400,300,hello,230,123,202,123
IMG_0443.JPG,400,300,hello,182,144,211,195
IMG_0446.JPG,400,300,hello,183,124,208,180
IMG_0449.JPG,400,300,hello,177,129,205,169
IMG_0450.JPG,400,300,hello,152,105,181,222
IMG_0464.JPG,400,300,hello,183,140,206,196
IMG_0466.JPG,400,300,hello,180,127,208,205
IMG_0468.JPG,400,300,hello,181,117,211,213
IMG_0471.JPG,400,300,hello,178,143,207,199
IMG_0475.JPG,400,300,hello,143,117,171,226
IMG_0478.JPG,400,300,hello,186,159,211,214
IMG_0480.JPG,400,300,hello,164,126,194,210
IMG_0481.JPG,400,300,hello,185,146,214,200
IMG_0482.JPG,400,300,hello,178,143,210,197
IMG_0484.JPG,400,300,hello,180,138,205,193
IMG_0486.JPG,400,300,hello,144,113,171,222
IMG_0491.JPG,400,300,hello,189,103,219,209
IMG_0493.JPG,400,300,hello,187,128,217,182
IMG_0495.JPG,400,300,hello,176,126,210,176
IMG_0498.JPG,400,300,hello,165,139,194,199
IMG_0500.JPG,400,300,hello,154,150,185,191
IMG_0505.JPG,400,300,hello,179,154,206,198
IMG_0507.JPG,400,300,hello,189,147,214,201
IMG_0508.JPG,400,300,hello,182,137,209,206
IMG_0512.JPG,400,300,hello,159,122,185,234
IMG_0513.JPG,400,300,hello,198,161,226,203
IMG_0514.JPG,400,300,hello,181,149,212,216
IMG_0516.JPG,400,300,hello,221,130,192,130
IMG_0517.JPG,400,300,hello,196,117,224,235
IMG_0524.jpg,225,300,hello,62,128,115,150
IMG_0528.JPG,400,300,hello,203,100,174,99
IMG_0534.jpg,225,300,hello,88,147,132,169
IMG_0536.jpg,225,300,hello,63,148,154,172
IMG_0537.jpg,225,300,hello,88,139,130,164
IMG_0538.jpg,225,300,hello,91,139,136,165
IMG_0547.jpg,225,300,hello,84,152,128,173
IMG_0551.jpg,206,300,hello,61,132,114,158
IMG_0563.jpg,224,300,hello,89,152,128,171
IMG_0564.jpg,225,300,hello,91,151,128,170
IMG_0565.jpg,224,300,hello,68,149,152,171
IMG_0567.jpg,225,300,hello,93,149,129,171
IMG_0569.jpg,225,300,hello,95,149,132,171
IMG_0571.jpg,225,300,hello,77,152,150,170
IMG_0573.jpg,225,300,hello,113,131,81,131
IMG_0574.jpg,225,300,hello,97,144,127,166
IMG_0575.jpg,224,300,hello,99,146,130,167
IMG_0579.jpg,225,300,hello,92,142,132,162
IMG_0581.jpg,224,300,hello,86,150,145,173
IMG_0582.jpg,224,300,hello,64,128,155,145
IMG_0583.jpg,225,300,hello,68,134,153,150
IMG_0587.jpg,225,300,hello,87,137,125,153
IMG_0591.jpg,224,300,hello,81,140,147,160
IMG_0601.jpg,224,300,hello,83,147,138,169
IMG_0605.jpg,224,300,hello,93,147,136,166
IMG_0606.jpg,225,300,hello,94,147,134,167
IMG_0613.jpg,225,300,hello,94,147,128,167
IMG_0619.jpg,225,300,hello,94,149,128,166
IMG_0624.JPG,400,300,hello,195,128,225,176
IMG_0648.jpg,224,300,hello,66,137,145,157
IMG_0657.jpg,225,300,hello,91,140,128,156
IMG_0661.jpg,224,300,hello,70,141,154,162
IMG_0666.jpg,225,300,hello,96,136,135,154
IMG_0667.jpg,224,300,hello,91,139,135,161
IMG_0669.jpg,224,300,hello,88,140,128,161
IMG_0674.jpg,224,300,hello,76,127,146,148
IMG_0677.jpg,224,300,hello,136,133,100,133
IMG_0678.jpg,224,300,hello,98,134,138,156
IMG_0679.jpg,225,300,hello,84,135,151,153
IMG_0705.JPG,400,300,hello,211,140,237,182
IMG_0706.JPG,400,300,hello,205,151,228,196
IMG_0707.JPG,400,300,hello,175,126,200,222
IMG_0708.JPG,400,300,hello,191,142,214,188
IMG_0709.JPG,400,300,hello,181,145,206,187
IMG_0710.JPG,400,300,hello,182,126,208,222
IMG_0711.JPG,400,300,hello,189,146,216,192
IMG_0712.JPG,400,300,hello,191,128,217,177
IMG_0713.JPG,400,300,hello,184,143,210,178
IMG_0714.JPG,400,300,hello,197,144,222,175
IMG_0715.JPG,400,300,hello,186,135,207,169
IMG_0716.JPG,400,300,hello,198,134,220,168
IMG_0717.JPG,400,300,hello,181,137,205,177
IMG_0718.JPG,400,300,hello,184,128,207,185
IMG_0719.JPG,400,300,hello,168,105,185,195
